수주번호,거래처코드,제품코드,"영업등록구분(계획, 추가)",수주량,수주단가,수주금액,수주예정일자,수주일자,납기예정일자,납기일자,생산계획확정여부,자재계획확정여부,판매수량,진행현황,적재창고위치,적재창고위치명,긴급여부,비고
580F21022209,2001102,PEMA033101400,계획,15000,1000,15000000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,15000,완료,20000,태안,N,
580F21022215,2001200,PEMA023098200,계획,20000,1001,20020000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,20000,완료,20000,태안,N,
AE21022240,2001300,SSA073046500,계획,2000,1002,2004000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,2000,완료,20000,태안,N,
CSA521022218,2001400,PEMA043099800,계획,10000,1003,10030000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
CSA521022232,2001500,PEMA013120000,계획,10000,1004,10040000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
CSA521022242,2001600,PEMA013085300,계획,10000,1005,10050000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
HR1021022211,2001700,PEMA023100800,계획,10000,1006,10060000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
HR1021022212,2001800,PEMA023100800,계획,10000,1007,10070000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
HR1021022216,2002000,PEMA013131100,계획,10000,1008,10080000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
HR1021022223,2002100,PEMA013000210,계획,7000,1009,7063000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,7000,완료,20000,태안,N,
HR1021022224,2002200,PEMA063041501,계획,10000,1010,10100000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
HR1021022225,2002300,PEMA013121910,계획,5000,1011,5055000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,5000,완료,20000,태안,N,
HR1021022226,2002400,PEMA013078018,계획,10000,1012,10120000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
HR1021022227,2002500,PEMA013060901,계획,10000,1013,10130000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
HR1021022229,2002600,PEMA013046900,계획,10000,1014,10140000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
HR1021022231,2002700,PEMA013058613,계획,5000,1015,5075000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,5000,완료,20000,태안,N,
HR1021022233,2002800,PEMA013125500,계획,10000,1016,10160000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
HR1021022236,2002900,PEMA023046501,계획,10000,1017,10170000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000,완료,20000,태안,N,
HR1021022237,2003000,PEMA033046500,계획,5000,1018,5090000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,5000,완료,20000,태안,N,
HR1021022241,2003100,PEMA223048300,계획,7000,1019,7133000,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,7000,완료,20000,태안,N,
