SOLDDATE,TEMP,HUM,REGION_U
2022-01-01,-4.3,46.3,서울
2022-01-02,-1.3,57.9,서울
2022-01-03,-1.9,58.3,서울
2022-01-04,-2.5,51.8,서울
2022-01-05,-2.8,47.6,서울
2022-01-06,-2.2,47.1,서울
2022-01-07,-1.6,47.1,서울
2022-01-08,0.3,64.3,서울
2022-01-09,1.3,71.5,서울
2022-01-10,0.5,68.3,서울
2022-01-11,-7.4,55.5,서울
2022-01-12,-7.7,47.8,서울
2022-01-13,-6.4,45.8,서울
2022-01-14,-4.8,41.8,서울
2022-01-15,-1.0,48.3,서울
2022-01-16,-2.0,54.5,서울
2022-01-17,-5.8,59.9,서울
2022-01-18,-5.6,47.9,서울
2022-01-19,-5.3,72.3,서울
2022-01-20,-5.0,63.5,서울
2022-01-21,-2.7,55.6,서울
2022-01-22,0.3,52.4,서울
2022-01-23,2.0,52.4,서울
2022-01-24,4.6,56.0,서울
2022-01-25,2.8,80.0,서울
2022-01-26,1.3,62.8,서울
2022-01-27,-1.1,50.0,서울
2022-01-28,-2.7,51.6,서울
2022-01-29,-3.6,48.9,서울
2022-01-30,-2.8,45.4,서울
2022-01-31,-0.7,59.0,서울
2022-02-01,-1.3,76.6,서울
2022-02-02,-3.4,60.5,서울
2022-02-03,-3.4,52.4,서울
2022-02-04,-5.2,53.3,서울
2022-02-05,-6.6,48.8,서울
2022-02-06,-3.9,50.3,서울
2022-02-07,-2.5,51.3,서울
2022-02-08,-0.1,53.8,서울
2022-02-09,1.0,52.3,서울
2022-02-10,1.4,57.8,서울
2022-02-11,2.9,61.1,서울
2022-02-12,4.8,50.4,서울
2022-02-13,4.8,44.9,서울
2022-02-14,2.5,68.3,서울
2022-02-15,-4.7,58.0,서울
2022-02-16,-7.3,50.4,서울
2022-02-17,-6.2,41.6,서울
2022-02-18,-1.2,40.4,서울
2022-02-19,-1.7,52.9,서울
2022-02-20,-4.8,41.1,서울
2022-02-21,-3.0,56.3,서울
2022-02-22,-4.5,43.3,서울
2022-02-23,-5.6,38.5,서울
2022-02-24,-2.4,52.4,서울
2022-02-25,3.0,77.5,서울
2022-02-26,5.4,78.4,서울
2022-02-27,3.7,56.6,서울
2022-02-28,6.8,62.3,서울
2022-03-01,5.8,70.5,서울
2022-03-02,3.5,55.9,서울
2022-03-03,5.8,52.9,서울
2022-03-04,6.9,60.5,서울
2022-03-05,2.3,38.4,서울
2022-03-06,1.4,39.5,서울
2022-03-07,2.8,45.8,서울
2022-03-08,6.0,56.1,서울
2022-03-09,7.1,69.6,서울
2022-03-10,9.3,51.4,서울
2022-03-11,11.2,58.4,서울
2022-03-12,12.8,72.1,서울
2022-03-13,11.7,95.5,서울
2022-03-14,8.2,90.3,서울
2022-03-15,7.2,72.6,서울
2022-03-16,10.3,62.6,서울
2022-03-17,10.7,62.0,서울
2022-03-18,7.5,60.8,서울
2022-03-19,3.4,84.6,서울
2022-03-20,5.4,66.1,서울
2022-03-21,5.0,49.5,서울
2022-03-22,7.1,48.9,서울
2022-03-23,6.2,56.8,서울
2022-03-24,8.2,70.6,서울
2022-03-25,12.0,70.0,서울
2022-03-26,11.8,80.9,서울
2022-03-27,8.1,49.1,서울
2022-03-28,8.2,35.6,서울
2022-03-29,9.7,52.9,서울
2022-03-30,10.8,76.5,서울
2022-03-31,10.9,63.5,서울
2022-04-01,9.2,50.5,서울
2022-04-02,8.2,55.0,서울
2022-04-03,9.6,55.0,서울
2022-04-04,10.3,50.3,서울
2022-04-05,10.3,41.1,서울
2022-04-06,11.7,52.3,서울
2022-04-07,10.9,43.5,서울
2022-04-08,12.9,49.0,서울
2022-04-09,17.8,43.8,서울
2022-04-10,18.2,46.0,서울
2022-04-11,19.6,60.4,서울
2022-04-12,19.3,77.9,서울
2022-04-13,13.1,69.3,서울
2022-04-14,13.2,53.4,서울
2022-04-15,13.3,46.8,서울
2022-04-16,13.2,48.5,서울
2022-04-17,14.0,53.8,서울
2022-04-18,15.2,46.1,서울
2022-04-19,15.2,51.9,서울
2022-04-20,15.7,48.8,서울
2022-04-21,16.3,48.4,서울
2022-04-22,15.0,76.8,서울
2022-04-23,17.7,57.3,서울
2022-04-24,18.5,72.5,서울
2022-04-25,20.0,80.5,서울
2022-04-26,21.9,57.9,서울
2022-01-01,-6.4,52.6,경기도북부
2022-01-02,-2.1,57.3,경기도북부
2022-01-03,-4.0,61.4,경기도북부
2022-01-04,-3.9,52.9,경기도북부
2022-01-05,-5.1,56.8,경기도북부
2022-01-06,-3.4,49.4,경기도북부
2022-01-07,-3.8,52.4,경기도북부
2022-01-08,-2.0,71.1,경기도북부
2022-01-09,0.1,70.5,경기도북부
2022-01-10,-1.1,70.6,경기도북부
2022-01-11,-8.0,59.5,경기도북부
2022-01-12,-9.4,57.1,경기도북부
2022-01-13,-7.7,49.5,경기도북부
2022-01-14,-7.0,48.1,경기도북부
2022-01-15,-2.7,57.8,경기도북부
2022-01-16,-2.9,52.8,경기도북부
2022-01-17,-7.5,62.9,경기도북부
2022-01-18,-7.2,53.1,경기도북부
2022-01-19,-7.2,78.1,경기도북부
2022-01-20,-7.8,71.4,경기도북부
2022-01-21,-6.1,66.5,경기도북부
2022-01-22,-2.7,61.6,경기도북부
2022-01-23,0.8,58.8,경기도북부
2022-01-24,2.1,65.1,경기도북부
2022-01-25,2.2,83.1,경기도북부
2022-01-26,0.1,61.9,경기도북부
2022-01-27,-1.9,52.9,경기도북부
2022-01-28,-4.1,55.5,경기도북부
2022-01-29,-4.7,50.1,경기도북부
2022-01-30,-4.7,49.8,경기도북부
2022-01-31,-2.6,63.3,경기도북부
2022-02-01,-2.6,80.0,경기도북부
2022-02-02,-5.3,62.4,경기도북부
2022-02-03,-5.0,55.6,경기도북부
2022-02-04,-7.0,55.4,경기도북부
2022-02-05,-8.1,54.5,경기도북부
2022-02-06,-5.8,53.0,경기도북부
2022-02-07,-4.1,54.3,경기도북부
2022-02-08,-1.9,55.8,경기도북부
2022-02-09,-1.5,56.1,경기도북부
2022-02-10,0.1,55.1,경기도북부
2022-02-11,0.9,59.4,경기도북부
2022-02-12,2.7,52.0,경기도북부
2022-02-13,2.3,51.4,경기도북부
2022-02-14,0.2,78.5,경기도북부
2022-02-15,-5.5,59.3,경기도북부
2022-02-16,-8.2,50.8,경기도북부
2022-02-17,-7.3,42.6,경기도북부
2022-02-18,-3.4,44.9,경기도북부
2022-02-19,-2.3,48.6,경기도북부
2022-02-20,-5.3,35.5,경기도북부
2022-02-21,-4.5,52.5,경기도북부
2022-02-22,-5.3,40.1,경기도북부
2022-02-23,-6.6,38.8,경기도북부
2022-02-24,-3.5,52.0,경기도북부
2022-02-25,1.4,74.9,경기도북부
2022-02-26,4.6,79.3,경기도북부
2022-02-27,2.7,63.9,경기도북부
2022-02-28,4.4,70.5,경기도북부
2022-03-01,3.9,76.5,경기도북부
2022-03-02,2.1,62.6,경기도북부
2022-03-03,4.8,53.8,경기도북부
2022-03-04,5.4,64.3,경기도북부
2022-03-05,1.9,34.9,경기도북부
2022-03-06,1.5,32.8,경기도북부
2022-03-07,1.4,44.6,경기도북부
2022-03-08,4.7,58.6,경기도북부
2022-03-09,5.0,70.0,경기도북부
2022-03-10,7.4,52.1,경기도북부
2022-03-11,9.2,62.9,경기도북부
2022-03-12,10.8,75.0,경기도북부
2022-03-13,10.3,96.9,경기도북부
2022-03-14,6.7,91.5,경기도북부
2022-03-15,6.6,76.3,경기도북부
2022-03-16,9.0,64.3,경기도북부
2022-03-17,10.0,59.3,경기도북부
2022-03-18,6.4,62.1,경기도북부
2022-03-19,2.8,83.9,경기도북부
2022-03-20,3.9,71.9,경기도북부
2022-03-21,3.8,53.6,경기도북부
2022-03-22,6.7,49.3,경기도북부
2022-03-23,5.3,58.6,경기도북부
2022-03-24,7.5,73.0,경기도북부
2022-03-25,10.9,73.8,경기도북부
2022-03-26,11.4,82.6,경기도북부
2022-03-27,6.9,51.4,경기도북부
2022-03-28,6.2,42.6,경기도북부
2022-03-29,8.2,56.5,경기도북부
2022-03-30,8.8,82.8,경기도북부
2022-03-31,9.4,73.0,경기도북부
2022-04-01,7.9,58.0,경기도북부
2022-04-02,7.2,48.6,경기도북부
2022-04-03,8.8,51.4,경기도북부
2022-04-04,9.2,51.8,경기도북부
2022-04-05,9.4,42.6,경기도북부
2022-04-06,11.5,44.9,경기도북부
2022-04-07,10.5,45.1,경기도북부
2022-04-08,11.7,52.0,경기도북부
2022-04-09,17.5,43.8,경기도북부
2022-04-10,17.3,50.1,경기도북부
2022-04-11,18.7,63.6,경기도북부
2022-04-12,18.1,81.1,경기도북부
2022-04-13,11.8,64.5,경기도북부
2022-04-14,12.4,49.5,경기도북부
2022-04-15,11.6,47.8,경기도북부
2022-04-16,11.9,46.8,경기도북부
2022-04-17,12.7,48.5,경기도북부
2022-04-18,14.6,43.5,경기도북부
2022-04-19,13.7,48.4,경기도북부
2022-04-20,14.3,46.3,경기도북부
2022-04-21,14.9,52.8,경기도북부
2022-04-22,13.9,79.4,경기도북부
2022-04-23,16.1,60.1,경기도북부
2022-04-24,17.3,73.0,경기도북부
2022-04-25,18.7,82.9,경기도북부
2022-04-26,21.5,55.0,경기도북부
2022-01-01,-4.4,48.0,경기도남부
2022-01-02,-1.4,64.4,경기도남부
2022-01-03,-2.4,63.1,경기도남부
2022-01-04,-2.0,52.0,경기도남부
2022-01-05,-2.7,52.4,경기도남부
2022-01-06,-2.3,55.0,경기도남부
2022-01-07,-3.0,57.8,경기도남부
2022-01-08,-0.3,71.4,경기도남부
2022-01-09,0.4,80.4,경기도남부
2022-01-10,-0.2,77.4,경기도남부
2022-01-11,-6.3,56.0,경기도남부
2022-01-12,-6.9,51.5,경기도남부
2022-01-13,-5.2,44.9,경기도남부
2022-01-14,-4.7,44.1,경기도남부
2022-01-15,-0.3,54.5,경기도남부
